event number,video,camera,year,month,day,hour,actor,receiver,behavior,h.start,min.start,sec.start,duration,observer,which body part most SOCIALLY groomed?,which body part is groomed in the next SELF-grooming event,SELF-grooming is licking or scratching?,"Is the self-groomer the same bat as the social groomer? (yes,no,unsure(u))",comments
1,CH03_2019-06-23_03_01_19__03_09_42.mp4,3,2019,6,23,300,add,cnone,g,3,7,54,42,Jimmy,IW,Arm,,Y,
2,CH03_2019-06-23_03_01_19__03_09_42.mp4,3,2019,6,23,300,cnone,add,g,3,7,55,27,Jimmy,IW,Arm,,Y,
3,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,10,13,49,Jimmy,Head,IW,,N,
4,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,12,52,60,Jimmy,OW,Thumb,,Y,
5,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,14,40,13,Jimmy,UB,Arm,,N,
6,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,15,15,55,Jimmy,UB,Arm,,N,
7,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,16,58,113,Jimmy,IW,Arm,,N,
8,CH03_2019-06-23_03_18_04__03_26_26.mp4,3,2019,6,23,300,ad,adldd,m,3,20,3,233,Jimmy,Head,Belly,,N,
9,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cnone,cdw,g,1,13,55,23,Jimmy,Head,IW,,N,Two Bat Licking Each Other
10,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cdw,cnone,g,1,14,2,14,Jimmy,UB,IW,,N,
11,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cnone,cdw,g,1,14,25,65,Jimmy,UB,Thumb,,N,
12,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cnone,cdw,g,1,15,37,170,Jimmy,Head,Belly,,N,
13,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cdw,cnone,g,1,15,48,163,Jimmy,Head,Belly,,N,
14,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cldw,cnone,g,1,18,59,149,Jimmy,Head,Thumb,,N,
15,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cnone,cldw,g,1,19,0,148,Jimmy,Head,Thumb,,N,
16,CH03_2019-06-23_01_19_27__01_27_49,3,2019,6,23,100,cldw,cnone,g,1,21,51,384,Jimmy,IW,Arm,,N,
17,CH03_2019-06-23_01_19_27__01_27_49,3,2019,6,23,100,cnone,cldw,g,1,21,51,384,Jimmy,Head,Arm,,N,
18,CH03_2019-06-23_01_27_49__01_36_12,3,2019,6,23,100,cnone,cldw,m,1,28,15,29,Jimmy,Face,IW,,N,
19,CH03_2019-06-23_01_27_49__01_36_12,3,2019,6,23,100,cldw,cnone,m,1,28,15,29,Jimmy,Face,IW,,N,
20,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,adld,g,9,13,59,7,Jimmy,Head,Thumb,,N,
21,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,ax,g,9,14,16,12,Jimmy,IW,Thumb,,N,
22,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,adld,g,9,14,16,12,Jimmy,UB,Thumb,,N,
23,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,adld,g,9,14,57,54,Jimmy,Head,Thumb,,N,
24,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,ax,g,9,14,57,32,Jimmy,OW,Thumb,,Y,
25,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,adldd,g,9,15,30,24,Jimmy,UB,Belly,,N,
26,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,add,g,9,16,24,5,Jimmy,UB,LB,,N,
27,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,add,g,9,16,36,5,Jimmy,IW,Thumb,,N,
28,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,add,adld,g,9,16,37,39,Jimmy,Head,IW,,N,
29,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,cdw,g,9,16,43,6,Jimmy,Head,IW,,N,
30,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,cdw,adld,g,9,16,44,5,Jimmy,Head,Thumb,,N,
31,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,add,g,9,17,3,14,Jimmy,Head,Thumb,,N,
32,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,add,g,9,17,25,31,Jimmy,Head,LB,,N,
33,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,add,ax,g,9,17,29,27,Jimmy,IW,LB,,N,
34,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,add,ax,g,9,18,10,70,Jimmy,Head,IW,,Y,
35,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,add,g,9,18,10,70,Jimmy,Face,Belly,,Y,
36,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,cdw,g,9,18,42,38,Jimmy,Head,Belly,,Y,
37,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,cdw,adld,g,9,18,44,37,Jimmy,Head,Thumb,,N,
38,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,adld,g,9,19,50,126,Jimmy,Head,Head,,N,
39,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,ax,g,9,19,50,132,Jimmy,H,Head,,N,
40,CH02_2019-06-23_09_21_44__09_30_06.mp4,2,2019,6,23,900,add,adld,g,9,22,18,18,Michael,ow,iw,,Y,
41,CH02_2019-06-23_09_21_44__09_30_06.mp4,2,2019,6,23,900,adld,add,g,9,22,18,18,Michael,ow,iw,,Y,
42,CH02_2019-06-23_09_21_44__09_30_06.mp4,2,2019,6,23,900,cdw,add,g,9,26,21,6,Michael,foot,none,,none,
43,CH02_2019-06-23_09_21_44__09_30_06.mp4,2,2019,6,23,900,add,cdw,g,9,26,21,6,Michael,f,none,,none,
44,CH02_2019-06-23_09_30_06__09_38_29.mp4,2,2019,6,23,900,bs,ax,g,9,32,55,19,Michael,ub,b,,N,
45,CH02_2019-06-23_09_30_06__09_38_29.mp4,2,2019,6,23,900,ax,bs,g,9,32,56,18,Michael,ub,b,,N,
46,CH02_2019-06-23_09_30_06__09_38_29.mp4,2,2019,6,23,900,bs,add,g,9,33,18,12,Michael,f,B,,Y,
47,CH02_2019-06-23_09_30_06__09_38_29.mp4,2,2019,6,23,900,bs,ax,g,9,33,33,86,Michael,iw,c,,Y,
48,CH02_2019-06-23_09_30_06__09_38_29.mp4,2,2019,6,23,900,ax,bs,g,9,33,33,85,Michael,iw,c,,Y,
49,CH02_2019-06-23_09_30_06__09_38_29.mp4,2,2019,6,23,900,bs,ax,g,9,35,5,45,Michael,ub,c,,Y,
50,CH02_2019-06-23_09_30_06__09_38_29.mp4,2,2019,6,23,900,ax,bs,g,9,35,5,43,Michael,ub,c,,Y,
51,CH02_2019-06-23_09_38_29__09_46_51.mp4,2,2019,6,23,900,adld,bes,g,9,38,51,7,Michael,h,none,,none,
52,CH02_2019-06-23_09_38_29__09_46_51.mp4,2,2019,6,23,900,bes,adld,g,9,38,51,7,Michael,h,none,,none,
53,CH02_2019-06-23_09_38_29__09_46_51.mp4,2,2019,6,23,900,add,cdw,g,9,39,0,7,Michael,foot,arm,,N,
54,CH02_2019-06-23_09_38_29__09_46_51.mp4,2,2019,6,23,900,cdw,add,g,9,39,0,7,Michael,foot,arm,,N,
55,CH02_2019-06-23_09_38_29__09_46_51.mp4,2,2019,6,23,900,bes,cdw,g,9,39,24,7,Michael,h,lb,,N,
56,CH02_2019-06-23_09_38_29__09_46_51.mp4,2,2019,6,23,900,cdw,bes,g,9,39,24,7,Michael,h,lb,,N,
57,CH02_2019-06-23_09_46_51__09_55_13.mp4,2,2019,6,23,900,add,ax,g,9,51,14,31,Michael,f,arm,,Y,
58,CH02_2019-06-23_09_46_51__09_55_13.mp4,2,2019,6,23,900,ax,add,g,9,51,14,31,Michael,f,arm,,Y,
59,CH03_2019-06-23_09_38_58__09_47_21.mp4,3,2019,6,23,900,clw,cldw,g,9,43,52,134,Michael,iw,arm,,N,
60,CH03_2019-06-23_09_38_58__09_47_21.mp4,3,2019,6,23,900,cldw,clw,g,9,43,53,133,Michael,iw,arm,,N,
61,CH03_2019-06-23_09_47_21__09_55_43.mp4,3,2019,6,23,900,cnone,clw,g,9,46,20,75,Michael,iw,b,,N,
62,CH03_2019-06-23_09_47_21__09_55_43.mp4,3,2019,6,23,900,clw,cnone,g,9,46,20,75,Michael,iw,b,,N,
63,CH03_2019-06-23_09_47_21__09_55_43.mp4,3,2019,6,23,900,cnone,clw,g,9,47,45,328,Michael,,,,,video non-responsive
64,CH03_2019-06-23_09_47_21__09_55_43.mp4,3,2019,6,23,900,clw,cnone,g,9,47,45,329,Michael,,,,,video non-responsive
65,CH03_2019-06-23_04_59_59_05_08_18,3,2019,6,23,500,clw,cnone,g,5,5,47,36,Michael,f,b,,N,
66,CH03_2019-06-23_04_59_59_05_08_18,3,2019,6,23,500,cnone,clw,g,5,5,50,49,Michael,f,thumb,,N,
67,CH03_2019-06-23_04_59_59_05_08_18,3,2019,6,23,500,add,clw,g,5,7,30,22,Michael,h,arm,,Y,
68,CH03_2019-06-23_04_59_59_05_08_18,3,2019,6,23,500,clw,add,g,5,7,38,14,Michael,h,arm,,Y,
69,CH03_2019-06-23_05_08_18_05_16_40,3,2019,6,23,500,cnone,add,g,5,10,36,5,Michael,lb,none,,none,
70,CH03_2019-06-23_05_08_18_05_16_40,3,2019,6,23,500,bxdlx,add,g,5,16,52,6,Michael,h,none,,none,
71,CH03_2019-06-23_05_08_18_05_16_40,3,2019,6,23,500,clw,cflf,g,5,17,13,18,Michael,chest,IW,,N,
72,CH03_2019-06-23_05_08_18_05_16_40,3,2019,6,23,500,cnone,clw,g,5,15,28,42,Michael,belly,none,,none,
73,CH03_2019-06-23_05_08_18_05_16_40,3,2019,6,23,500,clw,cnone,g,5,15,30,40,Michael,belly,none,,none,
74,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,bdlx,clw,g,9,29,26,36,Michael,h,IW,,Y,
75,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,clw,bdlx,g,9,29,27,35,Michael,h,IW,,Y,
76,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,clw,bdlx,g,9,33,27,6,Michael,b,b,,N,
77,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,adld,bdlx,g,9,34,0,165,Michael,h,a,,N,
78,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,bdlx,adld,g,9,34,0,165,Michael,h,a,,N,
79,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,clw,bes,g,9,34,40,24,Michael,h,none,,none,Bat doing grooming was also groomed by bat receiving grooming
80,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,bes,clw,g,9,34,40,24,Michael,H,none,,none,
81,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,clw,bes,g,9,35,17,88,Michael,h,none,,none,
82,CH01_2019-06-24_09_29_07__09_37_29.mp4,1,2019,6,24,900,bes,clw,g,9,35,17,88,Michael,h,none,,none,
83,CH01_2019-06-24_09_45_52__09_54_14.mp4,1,2019,6,24,900,add,adld,g,9,47,33,13,Michael,H,none,,none,
84,CH01_2019-06-24_09_45_52__09_54_14.mp4,1,2019,6,24,900,adld,add,g,9,47,33,13,Michael,H,none,,none,
85,CH01_2019-06-24_09_45_52__09_54_14.mp4,1,2019,6,24,900,add,clw,g,9,48,6,32,Michael,f,none,,none,
86,CH01_2019-06-24_09_45_52__09_54_14.mp4,1,2019,6,24,900,clw,add,g,9,48,6,32,Michael,f,none,,none,
87,CH01_2019-06-24_09_45_52__09_54_14.mp4,1,2019,6,24,900,add,clw,g,9,48,53,6,Michael,f,arm,,N,
88,CH01_2019-06-24_09_45_52__09_54_14.mp4,1,2019,6,24,900,clw,add,g,9,48,53,6,Michael,f,arm,,N,
89,CH02_2019-06-24_09_37_01__09_45_24.mp4,1,2019,6,24,900,bey,add,m,9,41,1,5,Michael,,,,,no bats performing any grooming behaviors
90,CH02_2019-06-24_09_45_24__09_53_46.mp4,1,2019,6,24,900,bey,addld,g,9,47,55,23,Michael,h,none,,none,
91,CH01_2019-06-24_03_16_35_03_24_57,1,2019,6,24,300,adldd,ad,g,3,18,28,-3,Michael,,,,,video non-responsive
92,CH01_2019-06-24_03_16_35_03_24_57,1,2019,6,24,300,adldd,ad,g,3,21,23,11,Michael,,,,,video non-responsive
93,CH01_2019-06-24_03_16_35_03_24_57,1,2019,6,24,300,adldd,ad,m,3,22,55,28,Michael,,,,,video non-responsive
94,CH01_2019-06-24_03_16_35_03_24_57,1,2019,6,24,300,adldd,ad,g,3,23,59,36,Michael,,,,,video non-responsive
95,CH01_2019-06-24_03_24_57_03_33_19,1,2019,6,24,300,adldd,ad,g,3,25,19,9,Michael,arm,none,,none,
96,CH01_2019-06-24_03_24_57_03_33_19,1,2019,6,24,300,adldd,adld,g,3,27,28,85,Michael,f,iw,,Y,
97,CH01_2019-06-24_03_24_57_03_33_19,1,2019,6,24,300,adld,adldd,g,3,27,34,79,Michael,f,iw,,Y,
98,CH01_2019-06-24_03_50_04_03_58_26,1,2019,6,24,300,adldd,ad,g,3,52,2,26,Michael,lower back,thumb,,Y,
99,CH01_2019-06-24_03_50_04_03_58_26,1,2019,6,24,300,adldd,ad,m,3,52,33,17,Michael,head,none,,none,
100,CH01_2019-06-24_03_50_04_03_58_26,1,2019,6,24,300,adldd,ad,g,3,54,16,25,Michael,thumb,none,,none,
101,CH01_2019-06-24_03_50_04_03_58_26,1,2019,6,24,300,adldd,ad,g,3,54,56,11,Michael,iw,thumb,,Y,
102,CH01_2019-06-24_03_41_42_03_50_04,1,2019,6,24,300,adldd,ad,g,3,42,46,18,Michael,arm,none,,none,
103,CH01_2019-06-24_03_41_42_03_50_04,1,2019,6,24,300,adldd,ad,g,3,43,23,5,Michael,head,thumb,,Y,
104,CH01_2019-06-24_03_41_42_03_50_04,1,2019,6,24,300,adldd,ad,g,3,43,42,7,Michael,chest,none,,none,
105,CH01_2019-06-24_03_41_42_03_50_04,1,2019,6,24,300,adldd,ad,g,3,46,13,36,Michael,upper back,none,,none,
106,CH01_2019-06-24_03_41_42_03_50_04,1,2019,6,24,300,adldd,ad,m,3,48,7,18,Michael,face,none,,none,
107,CH02_2019-06-24_02_59_58_03_07_46,2,2019,6,24,300,ax,pup,g,3,5,6,25,Michael,iw,thumb,,N,Bat doing grooming gripped receiver with both arms
108,CH02_2019-06-24_02_59_58_03_07_46,2,2019,6,24,300,ax,pup,g,3,5,39,127,Michael,iw,thumb,,N,Bat doing grooming gripped receiver with both arms
109,CH02_2019-06-24_03_07_46_03_16_08,2,2019,6,24,300,ax,pup,g,3,7,46,44,Michael,iw,lb,,N,
110,CH02_2019-06-24_03_07_46_03_16_08,2,2019,6,24,300,bes,blx,g,3,8,18,18,Michael,iw,lb,,N,
111,CH02_2019-06-24_03_07_46_03_16_08,2,2019,6,24,300,ax,pup,g,3,11,6,16,Michael,iw,arm,,N,
112,CH02_2019-06-24_03_07_46_03_16_08,2,2019,6,24,300,bdlx,ax,g,3,14,17,12,Michael,f,None,,none,
113,CH02_2019-06-24_03_07_46_03_16_08,2,2019,6,24,300,ax,bdlx,g,3,14,18,11,Michael,f,None,,none,
114,CH02_2019-06-24_03_32_53_03_41_15,2,2019,6,24,300,ax,pup,g,3,33,43,8,Michael,arm,None,,none,
115,CH02_2019-06-24_03_32_53_03_41_15,2,2019,6,24,300,ax,pup,g,3,35,19,17,Michael,arm,None,,none,
116,CH02_2019-06-24_03_41_15_03_49_37,2,2019,6,24,300,clw,ax,g,3,46,54,67,Michael,b,None,,none,
117,CH02_2019-06-24_03_41_15_03_49_37,2,2019,6,24,300,ax,clw,g,3,46,55,66,Michael,b,None,,none,
118,CH02_2019-06-24_03_41_15_03_49_37,2,2019,6,24,300,ax,clw,g,3,48,7,9,Michael,c,None,,none,
119,CH01_2019-06-25_04_00_29_04_08_52,1,2019,6,25,400,adld,addldd,g,4,0,45,6,Michael,c,None,,none,
120,CH02_2019-06-25_09_05_24__09_13_46.mp4,2,2019,6,25,900,adld,adldd,g,9,7,40,17,Michael,f,thumb,,N,
121,CH02_2019-06-25_09_05_24__09_13_46.mp4,2,2019,6,25,900,adldd,adld,g,9,7,40,17,Michael,f,thumb,,N,
122,CH02_2019-06-25_09_30_31__09_38_53.mp4,2,2019,6,25,900,bs,adldd,g,9,33,30,36,Michael,f,thumb,,N,
123,CH02_2019-06-25_09_30_31__09_38_53.mp4,2,2019,6,25,900,bs,adldd,m,9,34,7,8,Michael,f,arm,,N,
124,CH02_2019-06-25_09_30_31__09_38_53.mp4,2,2019,6,25,900,adldd,bs,m,9,34,15,69,Michael,f,thumb,,N,exchanged licking 
125,CH02_2019-06-25_09_30_31__09_38_53.mp4,2,2019,6,25,900,bs,adldd,g,9,35,25,15,Michael,f,thumb,,N,
126,CH02_2019-06-25_09_30_31__09_38_53.mp4,2,2019,6,25,900,bs,adldd,g,9,35,47,11,Michael,f,Iw,,N,
127,CH02_2019-06-25_09_38_53__09_47_16.mp4,2,2019,6,25,900,add,bdlx,g,9,40,39,87,Michael,f,thumb,,N,
128,CH02_2019-06-25_09_38_53__09_47_16.mp4,2,2019,6,25,900,add,cnone,g,9,42,41,36,Michael,f,arm,,N,
129,CH02_2019-06-25_09_38_53__09_47_16.mp4,2,2019,6,25,900,blx,cldw,g,9,43,8,23,Michael,f,arm,,N,
130,CH02_2019-06-25_09_38_53__09_47_16.mp4,2,2019,6,25,900,ax,cnone,g,9,44,25,25,Michael,b,iw,,N,
131,CH02_2019-06-25_09_38_53__09_47_16.mp4,2,2019,6,25,900,cnone,ax,g,9,44,25,25,Michael,b,iw,,N,
132,CH01_2019-06-23_11_52_52__11_59_59,1,2019,6,23,1100,clw,adldd,g,11,53,8,48,Michael,ow,iw,,Y,Bat doing the grooming groomed itself
133,CH01_2019-06-23_11_52_52__11_59_60,1,2019,6,23,1100,adldd,clw,g,11,53,8,48,Michael,ow,iw,,Y,Bat doing the grooming groomed itself
134,CH01_2019-06-23_11_52_52__11_59_61,1,2019,6,23,1100,aldd,bdlx,g,11,54,9,18,Michael,c,lb,,N,
135,CH01_2019-06-23_11_52_52__11_59_62,1,2019,6,23,1100,add,adldd,g,11,54,49,15,Michael,ub,face,,N,
136,CH01_2019-06-23_11_52_52__11_59_63,1,2019,6,23,1100,add,adldd,g,11,55,10,115,Michael,ow,lb,,N,
137,CH01_2019-06-25_04_00_29_04_08_52,1,2019,6,25,400,adld,addldd,g,4,0,45,6,Michael,IW,none,,none,
138,CH02_2019-06-25_04_33_18_04_41_41,2,2019,6,25,400,ald,aldd,m,4,38,6,26,Michael,b,b,,N,
139,CH02_2019-06-25_04_33_18_04_41_41,2,2019,6,25,400,addldd,pup,g,4,40,45,7,Michael,f,lb,,N,
140,CH02_2019-06-25_04_41_41_04_50_03,2,2019,6,25,400,ald,aldd,m,4,43,8,33,Michael,ub,lb,,Y,
141,CH02_2019-06-25_04_50_03_04_58_25,2,2019,6,25,400,bs,addldd,g,4,56,11,5,Michael,f,none,,none,
142,CH02_2019-06-25_04_50_03_04_58_25,2,2019,6,25,400,bs,addldd,m,4,56,16,7,Michael,f,none,,none,
143,CH02_2019-06-25_04_50_03_04_58_25,2,2019,6,25,400,ax,cfd,g,4,58,20,5,Michael,lb,none,,none,
144,CH02_2019-06-25_04_58_25_05_06_47,2,2019,6,25,400,ax,cfd,g,4,58,25,30,Michael,ub,b,,N,
145,CH02_2019-06-24_11_17_29__11_25_51,2,2019,6,24,1100,ax,cfd,g,11,23,29,54,Michael,face,b,,N,
146,CH02_2019-06-24_11_17_29__11_25_51,2,2019,6,24,1100,cfd,ax,g,11,23,29,54,Michael,face,thumb,,N,
147,CH02_2019-06-24_11_17_29__11_25_51,2,2019,6,24,1100,ax,none?,g,11,28,58,88,Michael,head,foot,,N,
148,CH02_2019-06-24_11_17_29__11_25_51,2,2019,6,24,1100,none?,ax,g,11,28,58,88,Michael,head,foot,,N,
149,CH02_2019-06-24_11_17_29__11_25_51,2,2019,6,24,1100,ald???,???,g,11,45,51,78,Michael,face,foot,,N,
150,CH02_2019-06-26_05_02_34_05_10_56,2,2019,6,26,500,aldd,ald,g,5,6,11,10,Michael,chest,f,,N,
151,CH02_2019-06-26_05_02_34_05_10_56,2,2019,6,26,500,aldd,ald,g,5,6,16,7,Michael,chest,f,,N,
152,CH02_2019-06-26_05_02_34_05_10_56,2,2019,6,26,500,ald,aldd,g,5,6,39,30,Michael,head,arm,,N,
153,CH02_2019-06-26_05_02_34_05_10_56,2,2019,6,26,500,aldd,ald,g,5,6,45,24,Michael,head,arm,,N,
154,CH02_2019-06-26_05_02_34_05_10_56,2,2019,6,26,500,ald,aldd,g,5,7,15,12,Michael,iw,arm,,N,
155,CH02_2019-06-26_05_02_34_05_10_56,2,2019,6,26,500,aldd,ald,g,5,7,16,7,Michael,iw,none,,none,
156,CH02_2019-06-26_05_02_34_05_10_56,2,2019,6,26,500,cldw,cnone,m,5,8,52,15,Michael,f,iw,,N,
157,CH02_2019-06-26_05_10_56_05_19_19,2,2019,6,26,500,adld,bdlx,g,5,14,17,119,Michael,head,thumb,,Y,
158,CH02_2019-06-26_05_10_56_05_19_19,2,2019,6,26,500,bdlx,adld,g,5,14,18,118,Michael,head,thumb,,Y,
159,CH02_2019-06-26_05_10_56_05_19_19,2,2019,6,26,500,addldd,adld,g,5,16,17,45,Michael,f,iw,,N,
160,CH02_2019-06-26_05_10_56_05_19_19,2,2019,6,26,500,adld,addldd,g,5,16,17,135,Michael,f,iw,,N,a third bat tried grooming the reciever of the grooming
161,CH02_2019-06-26_05_10_56_05_19_19,2,2019,6,26,500,addldd,adld,g,5,17,15,77,Michael,f,iw,,N,
162,CH02_2019-06-26_05_10_56_05_19_19,2,2019,6,26,500,ald,aldd,g,5,18,16,36,Michael,f,iw,,Y,
163,CH02_2019-06-26_05_10_56_05_19_19,2,2019,6,26,500,aldd,ald,g,5,18,22,30,Michael,f,iw,,Y,
164,CH02_2019-06-26_05_19_19_05_27_41,2,2019,6,26,500,ax,pup,g,5,20,8,14,Michael,head,iw,,N,
165,CH02_2019-06-26_05_19_19_05_27_41,2,2019,6,26,500,bes,cnone,g,5,19,56,7,Michael,f,iw,,Y,
166,CH02_2019-06-26_05_19_19_05_27_41,2,2019,6,26,500,ax,pup,g,5,21,40,20,Michael,iw,b,,N,
167,CH02_2019-06-6_05_44_26_05_52_48,2,2019,6,26,500,bey,cldw,g,5,48,42,11,Michael,f,thumb,,N,
168,CH02_2019-06-6_05_44_26_05_52_48,2,2019,6,26,500,bey,bes,g,5,49,15,6,Michael,f,none,,none,
169,CH02_2019-06-6_05_44_26_05_52_48,2,2019,6,26,500,bdlx,ax,g,5,51,46,16,Michael,head,thumb,,N,
170,CH02_2019-06-6_05_44_26_05_52_48,2,2019,6,26,500,ax,bdlx,g,5,51,48,14,Michael,head,thumb,,N,
171,CH01_2019-06-26_09_10_14__09_18_37.mp4,1,2019,6,26,900,clw,cnone,g,9,12,27,15,Michael,face,arm,,Y,
172,CH01_2019-06-26_09_10_14__09_18_37.mp4,1,2019,6,26,900,cnone,clw,g,9,12,27,19,Michael,face,arm,,Y,
173,CH02_2019-06-26_08_59_59__09_01_10.mp4,2,2019,6,26,900,ax,addldd,g,9,0,25,28,Michael,belly,thumb,,N,"multiple different locations being groomed; however, belly was groomed longest"
174,CH02_2019-06-26_08_59_59__09_01_10.mp4,2,2019,6,26,900,addldd,ax,g,9,0,25,28,Michael,belly,thumb,,N,"multiple different locations being groomed; however, belly was groomed longest"
175,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,bxdlx,g,9,3,27,6,Michael,head,none,,none,
176,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,ax,g,9,3,40,5,Michael,head,thumb,,N,multiple different bats grooming each other in same frame 
177,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,ax,bey,g,9,3,40,5,Michael,head,thumb,,N,multuple different bats grooming each other in same frame
178,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,bxdlx,g,9,3,45,10,Michael,head,arm,,N,
179,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,bxdlx,g,9,4,47,6,Michael,face,thumb,,N,two individuals trying to groom the same bat
180,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,addld,g,9,4,55,21,Michael,face,thumb,,N,
181,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,blx,ax,g,9,5,15,12,Michael,face,IW,,N,
182,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,add,bey,g,9,5,29,9,Michael,face,IW,,N,
183,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,add,g,9,5,29,9,Michael,face,IW,,N,
184,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,bxx,g,9,6,45,44,Michael,lower back,IW,,N,
185,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,ax,add,g,9,7,0,7,Michael,lower back,IW,,N,
186,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,add,ax,g,9,7,0,7,Michael,lower back,IW,,N,
187,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,bxx,g,9,7,41,15,Michael,face,thumb,,N,
188,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bxx,bey,g,9,7,41,15,Michael,chest,thumb,,N,
189,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,add,cdw,g,9,7,47,5,Michael,chest,thumb,,N,
190,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,bxx,g,9,8,12,14,Michael,upper back,thumb,,N,
191,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,add,g,9,8,26,41,Michael,upper back,upper back,,N,
192,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,bey,add,g,9,9,16,27,Michael,arm,belly,,N,
193,CH02_2019-06-26_09_01_10__09_09_32.mp4,2,2019,6,26,900,add,bxx,g,9,9,18,11,Michael,arm,belly,,N,
194,CH02_2019-06-26_09_09_32__09_17_54.mp4,2,2019,6,26,900,add,ax,g,9,10,13,24,Michael,head,IW,,N,
195,CH02_2019-06-26_09_09_32__09_17_54.mp4,2,2019,6,26,900,ax,add,g,9,10,39,10,Michael,face,thumb,,N,
196,CH02_2019-06-26_09_09_32__09_17_54.mp4,2,2019,6,26,900,add,ax,g,9,10,39,11,Michael,face,thumb,,N,
197,CH02_2019-06-26_09_09_32__09_17_54.mp4,2,2019,6,26,900,ax,bey,g,9,10,59,86,Michael,IW,thumb,,N,Bat one was grooming bat two while bat two was grooming bat one; timed groomed for both were very similar
